,describe_cut_
0,14.162472699648657
1,14.162472699648657
2,14.162472699648657
3,14.162472699648657
4,14.162472699648657
5,14.162472699648657
6,14.162472699648657
7,14.162472699648657
8,14.162472699648657
9,14.162472699648657
10,14.162472699648657
11,14.162472699648657
12,14.162472699648657
13,14.162472699648657
14,14.162472699648657
15,14.162472699648657
16,14.162472699648657
17,14.162472699648657
18,14.162472699648657
19,14.162472699648657
20,14.162472699648657
21,14.162472699648657
22,14.162472699648657
23,14.162472699648657
24,14.162472699648657
25,14.162472699648657
26,14.162472699648657
27,14.162472699648657
28,14.162472699648657
29,14.162472699648657
30,14.162472699648657
31,14.162472699648657
32,14.162472699648657
33,14.162472699648657
34,14.162472699648657
35,14.162472699648657
36,14.162472699648657
37,14.162472699648657
38,14.162472699648657
39,14.162472699648657
40,14.162472699648657
41,14.162472699648657
42,14.162472699648657
43,14.162472699648657
44,14.162472699648657
45,14.162472699648657
46,14.162472699648657
47,14.162472699648657
48,14.162472699648657
49,14.162472699648657
50,14.162472699648657
51,14.162472699648657
52,14.162472699648657
53,14.162472699648657
54,14.162472699648657
55,14.162472699648657
56,14.162472699648657
57,14.162472699648657
58,14.162472699648657
59,14.162472699648657
60,14.162472699648657
61,14.162472699648657
62,14.162472699648657
63,14.162472699648657
64,14.162472699648657
65,14.162472699648657
66,14.162472699648657
67,14.162472699648657
68,14.162472699648657
69,14.162472699648657
70,14.162472699648657
71,14.162472699648657
72,14.162472699648657
73,14.162472699648657
74,14.162472699648657
75,14.162472699648657
76,14.162472699648657
77,14.162472699648657
78,14.162472699648657
79,14.162472699648657
80,14.162472699648657
81,14.162472699648657
82,14.162472699648657
83,14.162472699648657
84,14.162472699648657
85,14.162472699648657
86,14.162472699648657
87,14.162472699648657
88,14.162472699648657
89,14.162472699648657
90,14.162472699648657
91,14.162472699648657
92,14.162472699648657
93,14.162472699648657
94,14.162472699648657
95,14.162472699648657
96,14.162472699648657
97,14.162472699648657
98,14.162472699648657
99,14.162472699648657
100,14.162472699648657
101,14.162472699648657
